loja,cep,categoria_bloco,nome_produto,preco,link_produto,data_coleta
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filézinho de Frango Perdigão Sassami 1kg,18.99,https://www.deliveryfort.com.br/filezinho-de-frango-perdigao-sassami-1kg/p,2026-01-20 23:20:18
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Petisco de Frango Copacol Temperado 1kg,17.98,https://www.deliveryfort.com.br/petisco-de-frango-copacol-temperado-1kg/p,2026-01-20 23:20:18
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Sassami de Frango Copacol 800g,17.98,https://www.deliveryfort.com.br/filezinho-de-sassami-de-frango-copacol-800g/p,2026-01-20 23:20:18
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Sassami de Frango Copacol Pacote 1kg,17.98,https://www.deliveryfort.com.br/file-de-sassami-de-frango-copacol-pacote-1kg/p,2026-01-20 23:20:18
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Sassami de Frango Lar,17.74,https://www.deliveryfort.com.br/filezinho-de-sassami-de-frango-lar/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Sadia sem Osso e sem Pele 1kg,19.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-sadia-sem-osso-e-sem-pele-1kg/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,FILÉZINHO FRANGO AURORA 1KG IQF CONGELADO,19.9,https://www.deliveryfort.com.br/filezinho-frango-aurora-1kg-iqf-congelado/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Frango Sadia IQF 1kg,19.98,https://www.deliveryfort.com.br/filezinho-de-frango-sadia-iqf-1kg/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Frango Copacol Bandeja 1kg,19.9,https://www.deliveryfort.com.br/file-de-frango-copacol-bandeja-1kg/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Copacol 800g,17.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-copacol-800g/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Petisco de Frango Copacol Temperado 1kg,17.98,https://www.deliveryfort.com.br/petisco-de-frango-copacol-temperado-1kg/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Sassami de Frango Copacol 800g,17.98,https://www.deliveryfort.com.br/filezinho-de-sassami-de-frango-copacol-800g/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Moído Lar Congelado 375g,7.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-moido-lar-congelado-375g/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Congelado Sadia Bio 1kg,28.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-congelado-sadia-bio-1kg/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Peito de Frango Bonatti Fatiado 1kg,33.98,https://www.deliveryfort.com.br/peito-de-frango-bonatti-fatiado-1kg/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Meio Peito Cozido Lar em Cubos Linha Minuto 300g,11.98,https://www.deliveryfort.com.br/meio-peito-cozido-lar-em-cubos-linha-minuto-300g/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Meio Peito Cozido Lar em Tiras Linha Minuto 300g,11.98,https://www.deliveryfort.com.br/meio-peito-cozido-lar-em-tiras-linha-minuto-300g/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Frango Lar Sassami 2kg,41.78,https://www.deliveryfort.com.br/filezinho-de-frango-lar-sassami-2kg/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filézinho de Frango Perdigão Sassami 1kg,18.99,https://www.deliveryfort.com.br/filezinho-de-frango-perdigao-sassami-1kg/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Sassami de Frango Copacol Pacote 1kg,17.98,https://www.deliveryfort.com.br/file-de-sassami-de-frango-copacol-pacote-1kg/p,2026-01-21 23:21:06
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Sassami de Frango Lar,17.74,https://www.deliveryfort.com.br/filezinho-de-sassami-de-frango-lar/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Sadia sem Osso e sem Pele 1kg,19.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-sadia-sem-osso-e-sem-pele-1kg/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,FILÉZINHO FRANGO AURORA 1KG IQF CONGELADO,19.9,https://www.deliveryfort.com.br/filezinho-frango-aurora-1kg-iqf-congelado/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Frango Sadia IQF 1kg,19.98,https://www.deliveryfort.com.br/filezinho-de-frango-sadia-iqf-1kg/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Frango Copacol Bandeja 1kg,19.9,https://www.deliveryfort.com.br/file-de-frango-copacol-bandeja-1kg/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Copacol 800g,17.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-copacol-800g/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Petisco de Frango Copacol Temperado 1kg,17.98,https://www.deliveryfort.com.br/petisco-de-frango-copacol-temperado-1kg/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Congelado Sadia Bio 1kg,28.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-congelado-sadia-bio-1kg/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Peito de Frango Bonatti Fatiado 1kg,33.98,https://www.deliveryfort.com.br/peito-de-frango-bonatti-fatiado-1kg/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Meio Peito Cozido Lar em Cubos Linha Minuto 300g,11.98,https://www.deliveryfort.com.br/meio-peito-cozido-lar-em-cubos-linha-minuto-300g/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Meio Peito Cozido Lar em Tiras Linha Minuto 300g,11.98,https://www.deliveryfort.com.br/meio-peito-cozido-lar-em-tiras-linha-minuto-300g/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Frango Lar Sassami 2kg,41.78,https://www.deliveryfort.com.br/filezinho-de-frango-lar-sassami-2kg/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filézinho de Frango Perdigão Sassami 1kg,18.99,https://www.deliveryfort.com.br/filezinho-de-frango-perdigao-sassami-1kg/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Sassami de Frango Copacol 800g,17.98,https://www.deliveryfort.com.br/filezinho-de-sassami-de-frango-copacol-800g/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Sassami de Frango Copacol Pacote 1kg,17.98,https://www.deliveryfort.com.br/file-de-sassami-de-frango-copacol-pacote-1kg/p,2026-01-22 23:20:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Sadia sem Osso e sem Pele 1kg,19.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-sadia-sem-osso-e-sem-pele-1kg/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,FILÉZINHO FRANGO AURORA 1KG IQF CONGELADO,19.9,https://www.deliveryfort.com.br/filezinho-frango-aurora-1kg-iqf-congelado/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Frango Sadia IQF 1kg,19.98,https://www.deliveryfort.com.br/filezinho-de-frango-sadia-iqf-1kg/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Frango Copacol Bandeja 1kg,19.9,https://www.deliveryfort.com.br/file-de-frango-copacol-bandeja-1kg/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Petisco de Frango Copacol Temperado 1kg,17.98,https://www.deliveryfort.com.br/petisco-de-frango-copacol-temperado-1kg/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Moído Lar Congelado 375g,7.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-moido-lar-congelado-375g/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Congelado Sadia Bio 1kg,28.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-congelado-sadia-bio-1kg/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Copacol 800g,17.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-copacol-800g/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Peito de Frango Bonatti Fatiado 1kg,33.98,https://www.deliveryfort.com.br/peito-de-frango-bonatti-fatiado-1kg/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Meio Peito Cozido Lar em Cubos Linha Minuto 300g,11.98,https://www.deliveryfort.com.br/meio-peito-cozido-lar-em-cubos-linha-minuto-300g/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Meio Peito Cozido Lar em Tiras Linha Minuto 300g,11.98,https://www.deliveryfort.com.br/meio-peito-cozido-lar-em-tiras-linha-minuto-300g/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Frango Lar Sassami 2kg,41.78,https://www.deliveryfort.com.br/filezinho-de-frango-lar-sassami-2kg/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Sassami de Frango Lar,17.74,https://www.deliveryfort.com.br/filezinho-de-sassami-de-frango-lar/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filézinho de Frango Perdigão Sassami 1kg,18.99,https://www.deliveryfort.com.br/filezinho-de-frango-perdigao-sassami-1kg/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Sassami de Frango Copacol 800g,17.98,https://www.deliveryfort.com.br/filezinho-de-sassami-de-frango-copacol-800g/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Sassami de Frango Copacol Pacote 1kg,17.98,https://www.deliveryfort.com.br/file-de-sassami-de-frango-copacol-pacote-1kg/p,2026-01-23 23:19:57
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Sassami de Frango Lar,16.54,https://www.deliveryfort.com.br/filezinho-de-sassami-de-frango-lar/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Sadia sem Osso e sem Pele 1kg,19.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-sadia-sem-osso-e-sem-pele-1kg/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Frango Sadia IQF 1kg,19.98,https://www.deliveryfort.com.br/filezinho-de-frango-sadia-iqf-1kg/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Sassami de Frango Copacol 800g,17.98,https://www.deliveryfort.com.br/filezinho-de-sassami-de-frango-copacol-800g/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Frango Copacol Bandeja 1kg,19.9,https://www.deliveryfort.com.br/file-de-frango-copacol-bandeja-1kg/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Petisco de Frango Copacol Temperado 1kg,17.98,https://www.deliveryfort.com.br/petisco-de-frango-copacol-temperado-1kg/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Moído Lar Congelado 375g,7.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-moido-lar-congelado-375g/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Congelado Sadia Bio 1kg,28.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-congelado-sadia-bio-1kg/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Peito de Frango Copacol 800g,13.98,https://www.deliveryfort.com.br/file-de-peito-de-frango-copacol-800g/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Peito de Frango Bonatti Fatiado 1kg,33.98,https://www.deliveryfort.com.br/peito-de-frango-bonatti-fatiado-1kg/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Meio Peito Cozido Lar em Cubos Linha Minuto 300g,11.98,https://www.deliveryfort.com.br/meio-peito-cozido-lar-em-cubos-linha-minuto-300g/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Meio Peito Cozido Lar em Tiras Linha Minuto 300g,11.98,https://www.deliveryfort.com.br/meio-peito-cozido-lar-em-tiras-linha-minuto-300g/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filezinho de Frango Lar Sassami 2kg,41.78,https://www.deliveryfort.com.br/filezinho-de-frango-lar-sassami-2kg/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filézinho de Frango Perdigão Sassami 1kg,18.99,https://www.deliveryfort.com.br/filezinho-de-frango-perdigao-sassami-1kg/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,FILÉZINHO FRANGO AURORA 1KG IQF CONGELADO,17.98,https://www.deliveryfort.com.br/filezinho-frango-aurora-1kg-iqf-congelado/p,2026-01-24 23:19:41
LOJA 810 - FLORIANÓPOLIS,88063-038,Frango,Filé de Sassami de Frango Copacol Pacote 1kg,17.98,https://www.deliveryfort.com.br/file-de-sassami-de-frango-copacol-pacote-1kg/p,2026-01-24 23:19:41
